Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,police_killing
47614,5.3,89.1,96.3,0.1,0.6,0.4,2.8,0.0
37000,19.8,74.0,91.2,4.8,0.7,0.1,4.8,0.0
32788,29.1,77.3,68.9,28.5,0.1,0.0,1.1,0.0
37672,9.9,83.8,92.2,3.8,0.1,0.0,3.8,0.0
64789,10.1,92.5,77.3,19.3,0.3,0.8,1.6,0.0
31029,33.0,81.4,34.3,64.1,0.2,0.6,1.9,0.0
43750,9.2,88.4,89.4,9.6,0.3,0.0,0.0,0.0
92193,6.5,94.0,92.8,3.9,0.1,2.1,1.6,0.0
38750,10.9,87.5,92.2,1.9,1.4,0.0,0.6,0.0
68368,15.4,86.6,76.3,18.5,0.7,1.7,2.7,1.0
39678,20.1,90.2,16.4,81.6,0.1,0.2,1.4,0.0
27163,31.5,79.3,70.4,23.3,0.5,0.4,4.1,0.0
24514,43.1,58.3,10.6,89.0,0.0,0.0,0.6,0.0
32452,26.0,75.2,64.9,27.1,0.1,0.5,6.9,0.0
58330,11.6,91.3,74.2,21.6,0.4,0.8,2.8,1.0
24861,8.8,70.7,91.7,7.6,0.0,0.7,0.0,0.0
32443,22.4,79.6,64.7,33.7,0.1,0.0,1.0,0.0
37813,26.0,86.1,60.4,37.9,0.5,0.2,0.4,0.0
45000,10.8,88.9,77.6,20.9,0.3,0.0,1.5,0.0
38776,23.3,86.9,45.0,50.6,0.3,1.8,2.4,1.0
30678,36.7,82.3,42.1,55.7,0.3,0.3,0.8,1.0
34760,25.5,86.6,70.2,24.6,0.3,0.6,5.7,0.0
42927,24.1,85.5,37.3,56.6,0.2,2.2,3.9,1.0
61049,9.9,87.9,88.2,7.8,0.3,1.4,2.1,0.0
63911,11.1,91.0,70.9,22.6,1.1,1.5,2.4,0.0
99375,0.0,83.1,94.3,5.7,0.0,0.0,0.0,0.0
70043,5.8,84.9,97.7,1.0,0.1,0.3,1.1,0.0
21169,9.5,93.8,92.7,2.3,0.0,0.5,5.5,0.0
15240,55.8,60.4,1.5,97.9,0.0,0.0,1.8,0.0
28843,24.3,79.2,78.2,13.1,4.1,0.4,1.6,0.0
39719,18.7,77.3,56.2,40.4,0.7,0.7,1.8,0.0
126534,3.0,99.5,97.2,1.0,0.1,0.9,1.0,0.0
73345,11.0,92.5,97.7,1.0,0.2,0.3,0.5,0.0
40750,31.3,80.8,23.4,73.6,1.7,0.1,0.7,0.0
34886,30.5,72.0,81.0,16.9,0.1,0.0,0.6,0.0
34034,18.8,87.3,82.4,15.6,0.5,0.0,1.0,0.0
